"name","population"
"Aceh (NAD)",5274871
"Sumatera Utara",14799361
"Sumatera Barat",5534472
"Riau",6394087
"Jambi",3548228
"Sumatera Selatan",8467432
"Bengkulu",2010670
"Lampung",9007848
"Kepulauan Bangka Belitung",1455678
"Kepulauan Riau",2064564
"DKI Jakarta",10562088
"Jawa Barat",48274162
"Jawa Tengah",36516035
"DI Yogyakarta",3668719
"Jawa Timur",40665696
"Banten",11904562
"Bali",4317404
"Nusa Tenggara Barat (NTB)",5320092
"Nusa Tenggara Timur (NTT)",5325566
"Kalimantan Barat",5414390
"Kalimantan Tengah",2669969
"Kalimantan Selatan",4073584
"Kalimantan Timur",3766039
"Kalimantan Utara",701814
"Sulawesi Utara",2621923
"Sulawesi Tengah",2985734
"Sulawesi Selatan",9073509
"Sulawesi Tenggara",2624875
"Gorontalo",1171681
"Sulawesi Barat",1419229
"Maluku",1848923
"Maluku Utara",1282937
"Papua",4303707
"Papua Barat",1134068
"Papua Selatan",""
"Papua Tengah",""
"Papua Pegunungan",""
"Papua Barat Daya",""
